Moves,Frequencies
7,16
8,68
9,170
10,288
11,480
12,738
13,907
14,1087
15,1282
16,1506
17,1673
18,1815
19,1924
20,2036
21,2149
22,2159
23,2200
24,2225
25,2301
26,2332
27,2313
28,2272
29,2302
30,2345
31,2201
32,2208
33,2151
34,2078
35,2036
36,1971
37,2014
38,1844
39,1891
40,1753
41,1738
42,1658
43,1589
44,1557
45,1443
46,1556
47,1477
48,1328
49,1318
50,1199
51,1215
52,1162
53,1113
54,1088
55,1046
56,1029
57,941
58,922
59,877
60,875
61,809
62,735
63,728
64,709
65,653
66,623
67,637
68,607
69,579
70,529
71,540
72,486
73,467
74,460
75,439
76,433
77,364
78,340
79,341
80,329
81,312
82,333
83,302
84,298
85,276
86,241
87,277
88,244
89,235
90,187
91,188
92,233
93,166
94,172
95,177
96,168
97,150
98,154
99,141
100,133
101,132
102,115
103,103
104,109
105,138
106,106
107,103
108,79
109,88
110,79
111,90
112,87
113,81
114,88
115,70
116,61
117,64
118,61
119,52
120,48
121,59
122,47
123,53
124,48
125,37
126,46
127,46
128,34
129,44
130,40
131,28
132,37
133,33
134,27
135,35
136,25
137,23
138,19
139,15
140,19
141,21
142,17
143,14
144,19
145,19
146,14
147,16
148,14
149,13
150,23
151,16
152,13
153,16
154,9
155,9
156,13
157,9
158,14
159,9
160,12
161,9
162,12
163,8
164,8
165,1
166,5
168,5
169,6
170,8
171,3
172,2
173,2
174,2
175,6
176,2
177,4
178,3
179,7
180,6
181,3
182,5
183,3
184,2
185,4
186,2
187,5
188,1
190,3
191,2
192,3
193,2
194,3
195,2
196,2
198,2
199,2
200,2
201,4
203,1
204,1
205,1
207,1
208,1
209,1
211,1
213,1
215,1
216,1
218,1
219,1
220,1
221,1
226,2
228,2
229,1
235,1
237,1
248,1
250,1
259,1
263,1
267,1
270,1
285,1
328,1
